album,izvajalec
8,The Beatles
11,The Jimi Hendrix Experience
12,The Beatles
15,The Beatles
16,The Beatles
19,R.E.M.
26,R.E.M.
42,Led Zeppelin
43,Led Zeppelin
44,Radiohead
45,Radiohead
46,Radiohead
50,Bob Dylan
51,Bob Dylan
52,Nick Drake
63,The Beach Boys
67,Belle and Sebastian
83,Nick Cave and The Bad Seeds
84,Nick Cave & The Bad Seeds
87,Nick Cave and The Bad Seeds
89,Nick Drake
90,Nick Drake
93,Bob Dylan
94,Bob Dylan
113,John Lennon
113,Plastic Ono Band
126,Nirvana
128,Nirvana
132,Pavement
133,Pavement
134,Pearl Jam
143,Pulp
145,The Rolling Stones
149,Simon and Garfunkel
157,Stereolab
160,Smashing Pumpkins
161,The Smashing Pumpkins
163,The Smiths
164,The Smiths
173,The Velvet Underground
173,Nico
174,The Velvet Underground
175,The Velvet Underground
179,Weezer
180,Weezer
185,The Who
186,The Who
189,XTC
201,The Magnetic Fields
205,The Beatles
206,The Beatles
217,Fiona Apple
218,The Band
231,Can
236,The Clash
258,The Beatles
269,Dave Matthews & Tim Reynolds
294,Tom Waits
297,Tom Waits
298,Tom Waits
300,Yo La Tengo
304,Nirvana
314,The Stone Roses
320,The Cure
324,The Cure
355,My Bloody Valentine
356,Van Morrison
357,Van Morrison
361,Scott Engel
372,The Clash
442,At the Drive-In
502,The Band
506,The Band
515,Beastie Boys
544,Joy Division
545,Joy Division
578,Elvis Costello
602,Depeche Mode
622,David Bowie
623,David Bowie
624,David Bowie
628,David Bowie
629,David Bowie
630,David Bowie
641,The Flaming Lips
644,OutKast
704,Eno
705,Eno
706,Eno
709,Brian Eno
731,PJ Harvey
756,Charlie Mingus
757,Charles Mingus
774,Thelonious Monk Quartet
780,Thelonious Monk
808,Ramones
810,Ramones
822,Otis Redding
839,Soft Machine
844,The Stooges
845,The Stooges
846,Iggy and The Stooges
880,Björk
882,Björk
902,Jeff Buckley
919,Dinosaur
933,Rage Against the Machine
969,Pink Floyd
974,Pink Floyd
975,Pink Floyd
976,Pink Floyd
978,Pink Floyd
992,The Rolling Stones
993,The Rolling Stones
995,The Rolling Stones
996,The Rolling Stones
1030,Pink Floyd
1034,Talking Heads
1035,Talking Heads
1036,Talking Heads
1037,Talking Heads
1038,Talking Heads
1045,Alice in Chains
1049,Alice in Chains
1088,Pixies
1089,Pixies
1093,Hüsker Dü
1110,Minutemen
1115,Sonic Youth
1116,Sonic Youth
1117,Sonic Youth
1167,Television
1175,Cocteau Twins
1179,Cocteau Twins
1189,The Doors
1190,The Doors
1195,The Doors
1245,Neutral Milk Hotel
1277,Love
1285,Paul McCartney
1285,Linda McCartney
1310,Elliott Smith
1311,Elliott Smith
1312,Elliott Smith
1430,Wire
1431,Wire
1432,Wire
1473,Paul McCartney & Wings
1593,Metallica
1705,Radiohead
1711,Nine Inch Nails
1712,Nine Inch Nails
1716,Spiritualized®
1730,Steely Dan
1731,Steely Dan
1740,Sly & The Family Stone
1744,Lou Reed
1795,Johnny Cash
1904,Tool
1905,Tool
1946,Deftones
1990,Michael Jackson
2009,System of a Down
2027,Led Zeppelin
2028,Led Zeppelin
2029,Led Zeppelin
2030,Led Zeppelin
2082,Guided by Voices
2086,Iron Maiden
2088,Iron Maiden
2089,Iron Maiden
2090,Iron Maiden
2091,Iron Maiden
2115,Sigur Rós
2127,Fugazi
2132,Fugazi
2135,The Dave Brubeck Quartet
2157,Black Sabbath
2161,The Jimi Hendrix Experience
2264,George Harrison
2276,Black Sabbath
2277,Black Sabbath
2281,Black Sabbath
2286,Deep Purple
2287,Deep Purple
2309,Jay-Z
2320,Fleetwood Mac
2325,The Jimi Hendrix Experience
2328,King Crimson
2337,Neil Young
2337,Crazy Horse
2338,Neil Young
2339,Neil Young
2345,Soundgarden
2357,Jimi Hendrix
2385,John Lennon
2402,Neil Young
2403,Neil Young
2404,Neil Young
2404,Crazy Horse
2406,Neil Young
2406,Crazy Horse
2426,Led Zeppelin
2436,The Strokes
2438,Björk
2542,Massive Attack
2564,The Allman Brothers Band
2571,Miles Davis
2574,The Replacements
2576,Dead Kennedys
2584,Prince and The Revolution
2590,Aphex Twin
2591,Boards of Canada
2593,Bob Dylan
2602,Godspeed You Black Emperor!
2611,The Avalanches
2612,DJ Shadow
2614,Built to Spill
2615,Built to Spill
2632,Modest Mouse
2634,Modest Mouse
2642,The Microphones
2660,Portishead
2661,Portishead
2667,The Roots
2671,Slint
2674,Patti Smith
2679,Talk Talk
2689,Wilco
2700,Yo La Tengo
2711,Slowdive
2771,Slayer
2779,Talk Talk
2833,Deep Purple
2863,Daft Punk
2959,Talk Talk
2966,D'Angelo
2980,The Who
3115,Bob Marley
3115,The Wailers
3118,Bob Marley
3118,The Wailers
3120,Leonard Cohen
3122,Leonard Cohen
3136,Kate Bush
3137,Kate Bush
3287,Joni Mitchell
3389,Rush
3390,Rush
3391,Rush
3392,Rush
3429,John Coltrane
3434,John Coltrane
3556,Lauryn Hill
3560,Janet
3572,Snoop Doggy Dogg
3577,Prince
3581,Bruce Springsteen
3583,Bruce Springsteen
3612,Prince
3675,植松伸夫
3770,Metallica
3781,Megadeth
3783,Megadeth
3799,Faith No More
3830,Sepultura
3832,Sepultura
3957,Grateful Dead
4000,Darkthrone
4012,Burzum
4014,Burzum
4052,Comus
4114,Bathory
4145,Iron Maiden
4193,Emperor
4194,Emperor
4199,Death
4201,Death
4202,Death
4203,Death
4204,Death
4235,Coil
4390,Frank Zappa
4418,Mr. Bungle
4501,Metallica
4588,Miles Davis
4596,Herbie Hancock
4597,Herbie Hancock
4599,Curtis Mayfield
4600,Curtis Mayfield
4621,Bob Marley
4621,The Wailers
4648,The Kinks
4649,The Kinks
4650,The Kinks
4651,Queen
4659,Stevie Wonder
4660,Stevie Wonder
4859,Aretha Franklin
4869,Captain Beefheart and His Magic Band
4871,Joni Mitchell
4878,Santana
4906,Neurosis
4907,Neurosis
5030,Vangelis
5037,Black Sabbath
5053,Aphex Twin
5115,Can
5159,Slayer
5160,Slayer
5166,Judas Priest
5168,King Crimson
5169,Cryptopsy
5200,Sade
5268,Tears for Fears
5313,T. Rex
5340,Hawkwind
5386,Ween
5445,Digable Planets
5532,植松伸夫
5543,Roxy Music
5629,Camel
5634,Camel
5654,Rory Gallagher
5657,Rory Gallagher
5687,Boards of Canada
5719,Yes
5720,Yes
5721,Yes
5734,Stevie Wonder
5843,Jethro Tull
5845,Jethro Tull
5853,Jethro Tull
5877,Genesis
5892,Marvin Gaye
5894,Marvin Gaye
5917,Genesis
5919,Genesis
5920,Genesis
5932,Peter Gabriel
5942,Van Morrison
5946,Hendrix
6116,John Coltrane
6130,Slayer
6155,Dead Kennedys
6156,Can
6210,Faust
6216,NEU!
6295,Bob Dylan
6296,Bob Dylan
6440,Thin Lizzy
6543,King Crimson
6544,King Crimson
6647,Miles Davis
6702,Bruce Springsteen
7171,Joni Mitchell
7176,Frank Zappa
7176,The Mothers of Invention
7180,Bob Dylan
7187,The Replacements
7299,Public Enemy
7300,Public Enemy
7380,OutKast
7381,OutKast
7406,A Tribe Called Quest
7466,Queen
7537,Blind Guardian
7584,Tom Waits
7660,Black Sabbath
7675,Opeth
7701,Red House Painters
7702,Red House Painters
7757,Grateful Dead
7764,Funkadelic
7793,Sly & The Family Stone
7812,Opeth
7819,Judas Priest
7820,Judas Priest
7833,Iced Earth
7855,Ennio Morricone
7862,Howard Shore
7937,Curtis Mayfield
7975,Van der Graaf Generator
7976,Van der Graaf Generator
7997,Johnny Cash
8078,Iggy Pop
8150,Queensrÿche
8154,Aretha Franklin
8166,"Crosby, Stills, Nash & Young"
8182,Spiritualized®
8236,Yes
8282,Otis Redding
8325,Creedence Clearwater Revival
8326,Creedence Clearwater Revival
8328,Creedence Clearwater Revival
8343,Bruce Springsteen
8343,E Street Band
8344,Bruce Springsteen
8429,Nico
8482,Erykah Badu
8514,Tim Buckley
8557,John Cale
8638,Portishead
8679,The Pharcyde
8758,Stan Getz & João Gilberto featuring Antônio Carlos Jobim
8797,Aphex Twin
8800,Cannibal Ox
8862,A Tribe Called Quest
9049,Judas Priest
9051,Siouxsie and The Banshees
9079,The Notorious B.I.G.
9136,Isaac Hayes
9363,The Zombies
9386,Chico Buarque
9553,American Football
9655,Gang of Four
9676,Genesis
9684,Mos Def
9777,Swans
9858,Deltron 3030
9910,The Dismemberment Plan
9958,Motörhead
9959,Motörhead
9976,Motörhead
9979,Iron Maiden
9980,Iron Maiden
10027,Ghostface Killah
10133,Frank Zappa
10143,Robert Wyatt
10283,Ozzy Osbourne
10283,Randy Rhoads
10373,山根ミチル
10376,近藤浩治
10382,光田康典
10388,植松伸夫
10393,Miles Davis
10394,Miles Davis
10400,Miles Davis
10403,Miles Davis
10405,Miles Davis
10453,The Chameleons
10494,Herbie Hancock
10523,Talking Heads
10551,Duke Ellington
10551,Charles Mingus
10551,Max Roach
10701,John Coltrane
10702,John Coltrane
10754,Philip Glass
10874,John Coltrane
10878,Swans
11014,Wu-Tang Clan
11082,Nas
11130,Cannonball Adderley
11164,Ghostface Killah
11215,Bill Evans Trio
11217,The Ornette Coleman Double Quartet
11218,Ornette Coleman
11221,Charles Mingus
11222,Charles Mingus
11341,Rainbow
11342,Judas Priest
11343,Thin Lizzy
11392,John Coltrane
11618,Judas Priest
11659,Duke Ellington
11692,Art Blakey and The Jazz Messengers
11812,Frank Zappa
11812,The Mothers of Invention
11957,David Bowie
12095,Caravan
12136,The Modern Lovers
12256,The Flaming Lips
12410,UFO
12445,Organized Konfusion
12502,Van der Graaf Generator
12517,Concertgebouworkest
12517,Asko Ensemble
12517,Riccardo Chailly
12644,Santana
12690,Morbid Angel
12819,Carl Stalling
12873,John Williams
12873,London Symphony Orchestra
12907,Rush
13083,Steve Reich and Musicians
13114,Exodus
13337,The Who
13339,The Who
13394,Boredoms
13461,John Coltrane
13507,João Gilberto
13532,Miles Davis
13541,Duster
13549,Parliament
13553,The Birthday Party
13802,Thelonious Monk Septet
13916,Keith Jarrett
13931,Mahavishnu Orchestra
13931,John McLaughlin
13935,Herbie Hancock
13991,Candlemass
14024,Little Feat
14030,Electric Wizard
14076,Kyuss
14077,Kyuss
14197,Pink Floyd
14338,Parliament
14339,Dio
14630,Refused
14705,John Coltrane
14706,John Coltrane
14776,Miles Davis
14793,Pharoah Sanders
14795,Pharoah Sanders
14798,Alice Coltrane featuring Pharoah Sanders
15064,Rainbow
15189,Big Black
15269,Swans
15875,Candlemass
15928,Yasunori Mitsuda
15944,Frank Zappa
16111,Songs: Ohia
16147,Lynyrd Skynyrd
16172,Neil Young
16172,Crazy Horse
16415,Elvis Presley
16598,Angelo Badalamenti
16598,David Lynch
16600,Keith Jarrett
16779,Unwound
16879,Gustavo Cerati
16935,Exuma
17034,Aretha Franklin
17040,Tom Zé
17044,Gene Clark
17057,Gorguts
17135,The Horace Silver Quintet
17249,This Heat
17350,The Thelonious Monk Quartet
17376,McCoy Tyner
17474,Bill Evans Trio
17489,Charles Mingus
17499,Eric Dolphy
17501,Eric Dolphy
17575,John Coltrane
17646,Sonny Sharrock
17669,Gil Scott-Heron
17674,Derek & The Dominos
17856,Gentle Giant
17902,Agalloch
17906,Mingus
17997,Interpol
18246,Wayne Shorter
18354,King Crimson
18447,Low
18586,Caetano Veloso
18846,Zappa
18850, Zappa
19133,Renaissance
19286,Queens of the Stone Age
19288,The Misfits
19392,Dissection
19502,Dismember
19727,Joy Division
19835,Steven Wright
20115,Wes Montgomery
20144,Nino Rota
20786,Converge
21066,Coltrane
21235,King Crimson
21237,Rush
21450,Yasunori Mitsuda
21480,King Crimson
21732,Bob Dylan
21749,Wishbone Ash
21876,The Beach Boys
21983,Ennio Morricone
22066,Gravediggaz
22312,Genius/GZA
22349,Grant Green
22375,Ulver
22562,Mobb Deep
22684,John Williams
22917,植松伸夫
22920,近藤浩治
23048,Edge of Sanity
