album,zanr
8,Art Rock
8,Blues Rock
8,Folk Rock
8,Hard Rock
8,Pop Rock
8,Psychedelic Rock
8,Rock
11,Acid Rock
11,Blues Rock
11,Hard Rock
11,Psychedelic Rock
12,Pop Rock
12,Progressive Pop
12,Psychedelic Pop
15,Art Pop
15,Art Rock
15,Baroque Pop
15,Pop Rock
15,Psychedelic Pop
15,Psychedelic Rock
15,Sunshine Pop
16,Art Rock
16,Baroque Pop
16,Pop Rock
16,Psychedelic Pop
16,Psychedelic Rock
16,Sunshine Pop
19,Alternative Rock
19,Jangle Pop
19,Post-Punk
26,Acoustic Rock
26,Alternative Rock
26,Jangle Pop
26,Pop Rock
42,Blues Rock
42,Hard Rock
43,Blues Rock
43,Folk Rock
43,Hard Rock
44,Alternative Rock
44,Britpop
45,Alternative Rock
45,Art Rock
45,Space Rock Revival
46,Ambient
46,Art Rock
46,Electronic
46,Electronic
46,Experimental Rock
46,IDM
50,Contemporary Folk
50,Folk Rock
50,Singer/Songwriter
51,Blues Rock
51,Contemporary Folk
51,Folk Rock
51,Singer/Songwriter
52,Chamber Folk
52,Contemporary Folk
52,Folk Baroque
52,Singer/Songwriter
63,Baroque Pop
63,Progressive Pop
63,Psychedelic Pop
63,Sunshine Pop
67,Chamber Folk
67,Chamber Pop
67,Indie Pop
67,Twee Pop
83,Art Rock
83,Gothic Rock
83,Post-Punk
83,Punk Blues
84,Art Rock
84,Dark Cabaret
84,Piano Rock
84,Singer/Songwriter
87,Alternative Rock
87,Gothic Rock
87,Post-Punk
87,Punk Blues
89,Baroque Pop
89,Chamber Folk
89,Contemporary Folk
89,Jazz Pop
89,Singer/Songwriter
90,Contemporary Folk
90,Folk Baroque
90,Singer/Songwriter
93,Contemporary Folk
93,Electric Blues
93,Folk Rock
93,Singer/Songwriter
94,Blues Rock
94,Folk Rock
94,Singer/Songwriter
113,Blues Rock
113,Contemporary Folk
113,Piano Rock
113,Singer/Songwriter
126,Alternative Rock
126,Grunge
126,Punk Rock
128,Alternative Rock
128,Grunge
128,Noise Rock
128,Post-Hardcore
132,Indie Rock
132,Lo-Fi / Slacker Rock
132,Noise Rock
133,Indie Rock
133,Lo-Fi / Slacker Rock
133,Noise Pop
134,Alternative Rock
134,Grunge
134,Hard Rock
143,Art Rock
143,Britpop
143,Glam Rock
145,Blues Rock
145,Country Rock
145,Hard Rock
145,Rhythm &amp; Blues
149,Contemporary Folk
149,Folk Pop
149,Folk Rock
149,Singer/Songwriter
157,Art Pop
157,Exotica
157,Indietronica
157,Krautrock
157,Lounge
157,Neo-Psychedelia
157,Space Age Pop
